,station_code,station_name,line_num,
역코드,4215,인천공항2터미널,공항철도,호선
역코드,4217,영종,공항철도,호선
역코드,4307,강남,신분당선,호선
역코드,4308,양재,신분당선,호선
역코드,4309,양재시민의숲,신분당선,호선
역코드,4310,청계산입구,신분당선,호선
역코드,4311,판교,신분당선,호선
역코드,4312,정자,신분당선,호선
역코드,4313,미금,신분당선,호선
역코드,4314,동천,신분당선,호선
역코드,4315,수지구청,신분당선,호선
역코드,4316,성복,신분당선,호선
역코드,4317,상현,신분당선,호선
역코드,4318,광교중앙,신분당선,호선
역코드,4319,광교,신분당선,호선
역코드,4501,기흥,용인경전철,호선
역코드,4502,강남대,용인경전철,호선
역코드,4503,지석,용인경전철,호선
역코드,4504,어정,용인경전철,호선
역코드,4505,동백,용인경전철,호선
역코드,4506,초당,용인경전철,호선
역코드,4508,삼가,용인경전철,호선
역코드,4509,시청.용인대,용인경전철,호선
역코드,4510,명지대,용인경전철,호선
역코드,4511,김량장,용인경전철,호선
역코드,4512,운동장.송담대,용인경전철,호선
역코드,4513,고진,용인경전철,호선
역코드,4514,보평,용인경전철,호선
역코드,4515,둔전,용인경전철,호선
역코드,4517,전대.에버랜드,용인경전철,호선
역코드,4601,발곡,의정부경전철,호선
역코드,4602,회룡,의정부경전철,호선
역코드,4603,범골,의정부경전철,호선
역코드,4604,경전철의정부,의정부경전철,호선
역코드,4605,의정부시청,의정부경전철,호선
역코드,4606,흥선,의정부경전철,호선
역코드,4607,의정부중앙,의정부경전철,호선
역코드,4608,동오,의정부경전철,호선
역코드,4609,새말,의정부경전철,호선
역코드,4610,경기도청북부청사,의정부경전철,호선
역코드,4611,효자,의정부경전철,호선
역코드,4612,곤제,의정부경전철,호선
역코드,4613,어룡,의정부경전철,호선
역코드,4614,송산,의정부경전철,호선
역코드,4615,탑석,의정부경전철,호선
역코드,4701,북한산우이,우이신설경전철,호선
역코드,4702,솔밭공원,우이신설경전철,호선
역코드,4703,4·19민주묘지,우이신설경전철,호선
역코드,4704,가오리,우이신설경전철,호선
역코드,4705,화계,우이신설경전철,호선
역코드,4706,삼양,우이신설경전철,호선
역코드,4707,삼양사거리,우이신설경전철,호선
역코드,4708,솔샘,우이신설경전철,호선
역코드,4709,북한산보국문,우이신설경전철,호선
역코드,4710,정릉,우이신설경전철,호선
역코드,4711,성신여대입구,우이신설경전철,호선
역코드,4712,보문,우이신설경전철,호선
역코드,4713,신설동,우이신설경전철,호선
역코드,4804,소사,서해선,호선
역코드,4805,소새울,서해선,호선
역코드,4806,시흥대야,서해선,호선
역코드,4807,신천,서해선,호선
역코드,4808,신현,서해선,호선
역코드,4809,시흥시청,서해선,호선
역코드,4810,시흥능곡,서해선,호선
역코드,4811,달미,서해선,호선
역코드,4812,선부,서해선,호선
역코드,4813,초지,서해선,호선
역코드,4814,시우,서해선,호선
역코드,4815,원시,서해선,호선
역코드,4920,양촌,김포도시철도,호선
역코드,4921,구래,김포도시철도,호선
역코드,4922,마산,김포도시철도,호선
역코드,4923,장기,김포도시철도,호선
역코드,4924,운양,김포도시철도,호선
역코드,4925,걸포북변,김포도시철도,호선
역코드,4926,사우,김포도시철도,호선
역코드,4927,풍무,김포도시철도,호선
역코드,4928,고촌,김포도시철도,호선
역코드,4929,김포공항,김포도시철도,호선
